abertausend 	abertausend, Abertausend	abertausend, *Abertausend*
außerstande	außer Stande, außerstande	außer Stande / *außerstande*
bankrott gehen	Bankrott gehen	bankrottgehen; nach der Wirtschaftskrise war die Firma bankrottgegangen; aber: Bankrott machen; bankrott sein 
behende	behände	behände; mit behänden Bewegungen 
beiseite legen	beiseite legen	beiseitelegen; sie hatte sich etwas beiseitegelegt (= etwas gespart); er konnte das Buch kaum beiseitelegen 
bei weitem	bei weitem	bei weitem / bei Weitem; das ist bei weitem / bei Weitem die beste Lösung 
bekanntgeben	bekannt geben	bekannt geben / bekanntgeben; das Unternehmen hatte seinen Börsengang bekannt gegeben / bekanntgegeben 
bekanntmachen (ein Gesetz)   bekannt machen (sich untereinander)	bekannt machen	bekannt machen / bekanntmachen (ein Gesetz)  bekannt machen / bekanntmachen (sich untereinander) 
bereit erklären	bereit erklären	bereit erklären / bereiterklären; die Firma hatte sich spontan bereit erklärt / bereiterklärt, das Geld zu spenden 
bereitmachen (aber: ich habe mich bereit gemacht)	bereitmachen	bereit machen / bereitmachen; er hatte sich bereit gemacht / bereitgemacht; die Reise anzutreten 
besorgniserregend	Besorgnis erregend	Besorgnis erregend / besorgniserregend; ein Besorgnis erregender / besorgniserregender Ausblick; aber nur: ein große Besorgnis erregender Ausblick; ein höchst besorgniserregender Ausblick 
besserverdienend	besser verdienend	besser verdienend / besserverdienend; die besser verdienenden / besserverdienenden Angestellten; die Steuerreform nützt nur den besser Verdienenden / Besserverdienenden; aber: die gut verdienenden / gutverdienenden Beamten 
bewußtmachen (klarmachen)    bewußt machen (absichtlich machen)	bewusst machen	bewusst machen / bewusstmachen (klarmachen); er war gezwungen, sich den Ernst der Lage bewusst zu machen / bewusstzumachen  bewusst machen (absichtlich machen); er hatte den Fehler bewusst gemacht 
Bibliographie	Bibliographie / Bibliografie	Bibliographie / Bibliografie (Bücherverzeichnis); der Autor konnte auf eine umfassende Bibliographie / Bibliografie zurückblicken; die bibliographische / bibliografische Erfassung seiner Werke; aber: Lexikographie / Lexikografie (Lehre von der Abfassung von Wörterbüchern) 
Biographie	Biographie / Biografie	Biographie / Biografie (Lebenslauf, -geschichte); eine bunt schillernde Biographie / Biografie; die biographischen / biografischen Daten; entsprechend: Selbstbiographie / Selbstbiografie; Monographie / Monografie; Autobiographie / Autobiografie; aber: das Autograph / Autograf (eigenhändig geschriebenes Schriftstück einer bekannten Persönlichkeit) 
bis auf weiteres	bis auf weiteres	bis auf weiteres / bis auf Weiteres; es bleibt bis auf weiteres / bis auf Weiteres alles beim Alten 
bißchen	bisschen	bisschen; darf es ein bisschen mehr sein? 
Blackout	Black-out / Blackout	Black-out / Blackout; der Redner hatte einen Black-out / Blackout, er hatte seinen Text komplett vergessen; entsprechend: Fall-out / Fallout (radioaktiver Niederschlag); Hand-out / Handout (zu verteilendes Infomaterial); Knock-out / Knockout (K. o.); Lay-out / Layout; vgl. aber: Buy-out / Buyout 
blauer Brief	blauer Brief	Blauer Brief / blauer Brief; sie hatte als Einzige in der Klasse einen Blauen Brief / blauen Brief erhalten 
(nicht verzeichnet)	Blinddate / Blind Date	Blind Date (Verabredung mit jmdm., den man nicht kennt) 
bloßlegen	bloßlegen	in wörtlicher Bedeutung bloß legen / bloßlegen: bei der Renovierung wurden alle Rohre bloß gelegt / bloßgelegt  in übertragener Bedeutung bloßlegen: er fühlte sich bestrebt, sein Innerstes bloßzulegen 
bloßstrampeln	bloßstrampeln	bloß strampeln; das Baby hatte sich bloß gestrampelt 
breitgefächert	breit gefächert	breit gefächert / breitgefächert; ein breit gefächertes / breitgefächertes Angebot; aber: das Angebot ist breit gefächert / breitgefächert 
Brennessel	Brennnessel	Brennnessel / Brenn-Nessel; aus Brennnesseln / Brenn-Nesseln lassen sich schmackhafte Gerichte wie Brennnesselsalat oder Brennnesselsuppe machen 
brustschwimmen	brustschwimmen	brustschwimmen / Brust schwimmen; er war zwei Bahnen brustgeschwommen / Brust geschwommen; aber nur: sie schwimmt Brust 
buchführend	Buch führend / buchführend	Buch führend / buchführend; die Buch führende / buchführende Geschäftsstelle; aber nur: er pflegte über alle seine Ausgaben Buch zu führen 
Buyout	Buy-out	Buy-out / Buyout (kurz für: Management-Buy-out / Management-Buyout = Übernahme eines Unternehmens durch das eigene Management); entsprechend: Burn-out / Burnout (kurz für: Burn-out-Syndrom / Burnoutsyndrom); Coming-out / Comingout; Work-out / Workout (Fitnesstraining); vgl. aber: Black-out / Blackout 
Café au lait	Café au Lait	Café au Lait (Milchkaffee); aber: Café complet; Café crème; Caffè Latte 
(nicht verzeichnet)	Callcenter / Call-Center	Callcenter / Call-Center; im Bereich der Kundenpflege werden immer häufiger Callcenter / Call-Center eingesetzt 
Cash-flow	Cashflow / Cash-Flow	Cashflow (Überschuss eines Unternehmens nach Abzug der Ausgaben als wirtschaftliche Kennziffer) 
Chansonnier   Chansonnière   Chansonnette / Chansonette	Chansonnier / Chansonier   Chansonnière / Chansoniere   Chansonnette / Chansonette	Chansonnier / Chansonier (Chansonsänger)  Chansonnière / Chansoniere (Chansonsängerin)  Chansonnette / Chansonette (Chansonsängerin; kleines Chanson) 
Chicorée	Chicorée / Schikoree	Chicorée / Schikoree (die weißen Blätter der Salatzichorie) 
Compact Disc	Compactdisc	Compact Disc / Compact Disk 
Creme / Krem	Creme / Krem / Kreme	Creme / Krem / Kreme; eine Karamellcreme / Karamellkrem / Karamellkreme; aber: Crème Caramel 
Crêpe (franz. Pfannkuchen)   Crêpe / Krepp (krauses Gewebe)	Crêpe / Krepp (franz. Pfannkuchen)   Crêpe / Krepp (krauses Gewebe)	Crêpe / Krepp (franz. Pfannkuchen); Crêpes mit Amaretto  Crêpe / Krepp (krauses Gewebe); Crêpe de Chine 
Curriculum vitae	Curriculum Vitae	Curriculum Vitae (Lebenslauf); in der Anlage finden Sie mein Curriculum Vitae 
dafürkönnen	dafürkönnen / dafür können	dafürkönnen; es war klar, dass er nichts dafürkonnte; sie behauptete, nichts dafürzukönnen; aber: sie behauptete, dafür nichts zu können; sie behauptete, nichts dafür (= für diesen Fehler) zu können 
dagewesen	da gewesen	da gewesen / dagewesen; eine noch nie da gewesene / dagewesene Begeisterung; etwas noch nie da Gewesenes / Dagewesenes; aber nur: alles ist schon einmal da gewesen 
dahin gehend	dahin gehend	dahin gehend / dahingehend; seine dahin gehenden / dahingehenden Äußerungen; die Arbeit lässt sich dahin gehend / dahingehend interpretieren 
danke	danke	danke / Danke; bekommt man etwas geschenkt, sollte man immer danke / Danke sagen; dafür möchte ich dir herzlich danke schön / Danke schön sagen; aber nur: aber: dafür möchte ich dir ein herzliches Dankeschön sagen; und nur: er sagt Dank 
daß	dass	dass; es ist bekannt, dass Dasssätze / dass-Sätze manchen Probleme bereiten 
datenverarbeitend	Daten verarbeitend	Daten verarbeitend / datenverarbeitend; ein Daten verarbeitendes / datenverarbeitendes Gerät; die Daten verarbeitende / datenverarbeitende Stelle 
Dekolleté / Décolleté	Dekolletee / Dekolleté	Dekolletee / Dekolleté (Ausschnitt); ihr Dekolletee / Dekolleté ließ tief blicken 
Delphin	Delfin / Delphin	Delfin / Delphin; Delfine / Delphine hält man im Delfinarium / Delphinarium 
delphinschwimmen	delfinschwimmen / delphinschwimmen	Delfin schwimmen / Delphin schwimmen / delfinschwimmen / delphinschwimmen; aber nur: er schwimmt Delfin / Delphin 
deplaziert / deplaciert	deplatziert / deplaciert	deplatziert / deplaciert; eine deplatzierte / deplacierte (unangebrachte) Bemerkung 
des öfteren	des Öfteren	des Öfteren; sie war schon des Öfteren zu spät gekommen 
des weiteren	des Weiteren	des Weiteren; es wurde des Weiteren vermeldet ... 
dichtbevölkert	dicht bevölkert	dicht bevölkert / dichtbevölkert; ein dicht bevölkertes / dichtbevölkertes Land; aber nur: Das Land ist dicht bevölkert. 
dichtmachen (schließen; zumachen)      dicht machen (abdichten)	dichtmachen (schließen; zumachen)      dicht machen (abdichten)	dichtmachen (schließen; zumachen); nach dem Skandal hatte die Firma dichtgemacht; die Läden machen heute erst um 22 Uhr dicht; du musst bei diesem Thema nicht gleich dichtmachen!  dicht machen / dichtmachen (abdichten); die Schotten dicht machen / dichtmachen; in der Werkstatt wurde das Cabrioverdeck wieder dicht gemacht / dichtgemacht 
Dienstag abend	Dienstagabend	Dienstagabend 
Dienstag abends / dienstags abends	dienstagabends / dienstags abends	dienstagabends / dienstags abends 
diensthabend	Dienst habend	Dienst habend / diensthabend; zuständig ist die Dienst habende / diensthabende Aufsicht; aber nur: der/die Diensthabende; entsprechend: Dienst leistend / dienstleistend; Dienst tuend / diensttuend 
Direct-Mailing	Directmailing /  Direct Mailing	Direct Mailing; mit einem gezielten Direct Mailing neue Kunden gewinnen 
Donnerstag abend	Donnerstagabend	Donnerstagabend 
Donnerstag abends / donnerstags abends	donnerstagabends / donnerstags abends	donnerstagabends / donnerstags abends 
Dönerkebab / Döner Kebab	Dönerkebab / Döner Kebab	Dönerkebab / Döner Kebab; in türkischer Schreibung: Dönerkebap / Döner Kebap; kurz: Döner; an dieser Dönerbude gibt es den besten Dönerkebab / Döner Kebab der Stadt 
doppelt gemoppelt	doppelt gemoppelt	doppelt gemoppelt / doppeltgemoppelt (ugs. unnötigerweise zweifach vorhanden) 
doppeltwirkend	doppelt wirkend	doppelt wirkend / doppeltwirkend; ein doppelt wirkender / doppeltwirkender Hydraulikzylinder (Technik), ein doppelt wirkendes / doppeltwirkendes Mittel (Medizin) 
dumm kommen	dumm kommen	dumm kommen / dummkommen; willst du mir jetzt dumm kommen / dummkommen? 
dünnbesiedelt	dünn besiedelt	dünn besiedelt / dünnbesiedelt; ein dünn besiedelter / dünnbesiedelter Landstrich; entsprechend: dünn bevölkert / dünnbevölkert 
dünn gesät	dünn gesät	dünn gesät / dünngesät; Fachleute sind in diesem Bereich dünn gesät / dünngesät; aber nur: spärlich gesät 
durcheinanderbringen	durcheinander bringen	durcheinanderbringen; im Bericht wurde einiges durcheinandergebracht 
durcheinanderreden	durcheinander reden	durcheinanderreden; der Diskussionsleiter bat die Teilnehmer, nicht durcheinanderzureden 
ebensoviel; ebenso viele	ebenso viel; ebenso viele	ebenso viel; ebenso viele; das Kino hat ebenso viel gekostet wie die Snacks; an der Straße standen ebenso viele Laternen wie Bäume; aber: ebensovielmal / ebenso viel Mal 
ehrfurchtgebietend	Ehrfurcht gebietend	Ehrfurcht gebietend / ehrfurchtgebietend; ein Ehrfurcht gebietender / ehrfurchtgebietender Anblick; aber nur: ein größte Ehrfurcht gebietender Anblick; ein äußerst ehrfurchtgebietender Anblick 
einbläuen (etwas blau färben)  einbleuen (jdm. etwas einprägen)	einbläuen (etwas blau färben; jdm. etwas einprägen)	einbläuen (etwas blau färben;  jdm. etwas einprägen) 
eine Zeitlang	eine Zeit lang	eine Zeit lang / eine Zeitlang; sie möchte eine Zeit lang / eine Zeitlang ausspannen; aber nur: einige Zeit lang; eine kurze Zeit lang 
einigemal; einige Male	einige Mal; einige Male	einige Mal; einige Male; das habe ich dir schon einige Mal gesagt! 
einiggehen	einig gehen	einiggehen; in diesen Punkten gehen wir einig; sie waren in allen Fragen einiggegangen 
Einmarkstück	Einmarkstück; Eineurostück	Einmarkstück; Eineurostück / Ein-Euro-Stück; aber nur:  1-Euro-Stück 
Einsteinsche Gleichung	einsteinsche / Einstein'sche Gleichung	einsteinsche / Einstein'sche Gleichung 
ein und alles	Ein und Alles	Ein und Alles; du bist mein Ein und Alles! 
einzelnstehend	einzeln stehend	einzeln stehend / einzelnstehend; eine einzeln stehende / einzelnstehende Eiche 
einzelne	Einzelne	Einzelne; alles bis ins Einzelne klären; der Einzelne in der Menge; jeder Einzelne ist verantwortlich; vom Einzelnen zum Gesamten 
eisenverarbeitend	Eisen verarbeitend	Eisen verarbeitend / eisenverarbeitend; die Eisen verarbeitende / eisenverarbeitende Industrie 
eisigkalt	eisig kalt	eisig kalt; ein eisig kalter Winter; die Nacht war eisig kalt 
eislaufen	Eis laufen	eislaufen; er läuft eis, im Urlaub sind wir Ski und eisgelaufen / eis- und Ski gelaufen 
(nicht verzeichnet)	emailen / e-mailen	emailen / e-mailen; sie emailten / e-mailten hin und her; aber nur: er hatte die Nachricht geemailt 
energiesparend	energiesparend / Energie sparend	energiesparend / Energie sparend; eine energiesparende / Energie sparende Lösung; aber nur: eine sehr energiesparende Lösung 
ernstgemeint;  aber: die Frage ist ernst gemeint	ernst gemeint	ernst gemeint / ernstgemeint; eine ernst gemeinte / ernst gemeinte Empfehlung; aber nur: das war doch nicht ernst gemeint! 
ernstzunehmend / ernst zu nehmend	ernst zu nehmend / ernstzunehmend	ernst zu nehmend / ernstzunehmend; ein ernst zu nehmender / ernstzunehmender Einwand; aber: den Einwand ernst nehmen 
Erste Hilfe	erste Hilfe	erste Hilfe / Erste Hilfe; einen Kurs in erster Hilfe / Erster Hilfe belegen 
essentiell	essenziell / essentiell	essenziell / essentiell; die essenziellen / essentiellen Voraussetzungen 
fallen lassen (zu Boden)     fallenlassen (z. B. eine Idee)	fallen lassen	fallen lassen (zu Boden); er hatte die Vase fallen lassen; auch: er hatte die Maske fallen lassen und zeigte nun sein wahres Gesicht  fallenlassen / fallen lassen (z. B. eine Idee); sie musste ihren Plan wieder fallenlassen / fallen lassen; die Eltern hatten ihren Sohn fallenlassen / fallen lassen (aufgehört, ihn zu unterstützen) 
Fast food	Fastfood / Fast Food	Fastfood / Fast Food; diese Fastfoodkette / Fast-Food-Kette ist in allen Ländern vertreten; ein schnelles Essen im Fastfoodrestaurant / Fast-Food-Restaurant 
feind (jemandem feind sein)	Feind (jemandem Feind sein)	feind (jemandem Feind sein); sie war ihm feind; dieser Sache bin ich feind 
fertigstellen	fertig stellen	fertig stellen / fertigstellen; das in Windeseile fertig gestellte / fertiggestellte Haus 
fertig werden	fertig werden	fertig werden / fertigwerden (zum Ende bringen); sie glaubte, mit der Arbeit bis zum Abend fertig zu werden / fertigzuwerden (sie bis dahin zu beenden)  fertig werden / fertigwerden (bewältigen); sie glaubte, mit dieser Arbeit fertig zu werden / fertigzuwerden (sie zu meistern) 
fischverarbeitend	Fisch verarbeitend	Fisch verarbeitend / fischverarbeitend; die Fisch verarbeitende / fischverarbeitende Industrie 
Fitneß	Fitness	Fitness; im Fitnessstudio / Fitness-Studio waren erfahrene Fitnesstrainer beschäftigt 
Flußschiffahrt	Flussschifffahrt	Flussschifffahrt /  Fluss-Schifffahrt; in der Schifffahrt / Schiff-Fahrt unterscheidet man zwischen Flussschifffahrt / Fluss-Schifffahrt und Seeschifffahrt / Seeschiff-Fahrt 
Fön (Haartrockner)   Föhn (warmer Fallwind)	Föhn; nur als eingetr. Warenzeichen: Fön (Haartrockner)  Föhn (warmer Fallwind)	Föhn; nur als eingetr. Warenzeichen: Fön (Haartrockner)  Föhn (warmer Fallwind) 
fönen	föhnen	föhnen;  sich die Haare föhnen 
Fotografie / Photographie	Fotografie / Photographie	Fotografie / Photographie; eine Ausstellung mit Fotografien / Photographien; er fotografierte / photographierte alles, was ihm vor die Linse kam; entsprechend: Klecksografie / Klecksographie (Tintenklecksbild für psychologische Auswertung); aber: Fonografie / Phonographie (Verzeichnis von Tonaufnahmen) 
freilaufend	frei laufend	frei laufend / freilaufend; die Eier sind von frei laufenden / freilaufenden (nicht in Käfigen gehaltenen) Hühnern; entsprechend: frei lebende / freilebende (in freier Natur lebende) Enten und Gänse 
Freitag abend	Freitagabend	Freitagabend 
Freitag abends / freitags abends	freitagabends / freitags abends	freitagabends / freitags abends 
Freudsche Fehlleistung	freudsche Fehlleistung / Freud'sche Fehlleistung	freudsche Fehlleistung / Freud'sche Fehlleistung (auch: freudscher Versprecher / Freud'scher Versprecher; Versprecher, bei dem angeblich das eigentlich Gemeinte deutlich wird) 
freund (jemandem freund sein)	Freund (jemandem Freund sein)	freund (jemandem freund sein); sie war ihm freund 
frischgebacken	frisch gebacken	in wörtlicher Bedeutung frisch gebacken / frischgebacken; frisch gebackene / frischgebackene Brötchen  in übertragener Bedeutung frischgebacken; das frischgebackene Ehepaar 
Friseur / Frisör	Friseur / Frisör	Friseur / Frisör; im Friseursalon / Frisörsalon waren viele Friseure / Frisöre und Friseurinnen (ugs. auch: Friseusen) / Frisörinnen (ugs. auch: Frisösen) beschäftigt 
fritieren; Friteuse	frittieren; Fritteuse	frittieren; Fritteuse; sie frittierte die Fritten in der Fritteuse; aber: Pommes frites 
furchterregend	Furcht erregend	Furcht erregend / furchterregend; unter den Dinosauriern gab es Furcht erregende / furchterregende Exemplare; aber nur: große Furcht erregend; äußerst furchterregend; noch furchterregender; entsprechend: Furcht einflößend / furchteinflößend 
fürliebnehmen	fürlieb nehmen	fürliebnehmen; mit einem Gebrauchtwagen fürliebnehmen; der Verkäufer bat, mit einem Gutschein fürliebzunehmen 
Gams; Gemse	Gams; Gämse	Gams; Gämse; die Gämsen sind wahre Kletterkünstler 
gar kochen; gargekocht	gar kochen; gar gekocht	gar kochen / garkochen; gar gekocht / gargekocht; das gar gekochte / gargekochte Fleisch; aber: Das Fleisch ist gar gekocht / gargekocht 
genaugenommen	genau genommen	genau genommen / genaugenommen; genau genommen / genaugenommen sind Delfine gar keine Fische; eine genau genommene / genaugenommene Anweisung; aber nur: er hat es mit den Finanzen stets sehr genau genommen 
Geographie	Geographie / Geografie	Geographie / Geografie; der neue Geographielehrer / Geografielehrer ist sehr bewandert; die Biogeographie / Biogeografie beschreibt die geographische / geografische Verbreitung der Tiere und Pflanzen; aber: Hydrographie / Hydrografie (Gewässerkunde); Ozeanographie / Ozeanografie (Meereskunde) 
gerngesehen	gern gesehen	gern gesehen / gerngesehen; er war ein gern gesehener / gerngesehener  (= willkommener) Gast; aber: die gern gesehene / gerngesehene (= gern angeschaute) Fernsehsendung; aber nur: er war bei uns gern gesehen; er gehörte zu den gerngesehensten (besser: am liebsten gesehenen) Gästen 
gern haben	gern haben	gernhaben; sie sagt, dass sie ihn gernhat; aber: dieses Wörterbuch möchte ich gern haben 
Geschoß	Geschoss  (südd./österr.: Geschoß)	Geschoss  (südd./österr.: Geschoß); aus der Waffe löste sich ein Geschoss (südd./österr.: Geschoß); sie wohnte im Erdgeschoss (südd./österr.: Erdgeschoß) 
gestern abend	gestern Abend	gestern Abend; es war gestern Abend sehr nett bei euch; entsprechend: heute Abend; morgen Abend; aber: gestern früh / gestern Früh 
Getto / Ghetto	Getto / Ghetto	Getto / Ghetto; Gettoisierung / Ghettoisierung; Gettoblaster / Ghettoblaster 
glatthobeln	glatt hobeln	glatt hobeln / glatthobeln; er hatte die Platte mit einer Raubank glatt gehobelt / glattgehobelt; entspr.: glatt bügeln / glattbügeln; glatt rasieren / glattrasieren; glatt rühren / glattrühren; aber Zusammenschreibung bei übertragener Bedeutung: eine Rechnung glattmachen (bezahlen); das ist noch einmal glattgegangen! 
gleichbleibend	gleich bleibend	gleich bleibend / gleichbleibend; Fertigung in gleich bleibender / gleichbleibender Qualität 
Glimmstengel	Glimmstängel	Glimmstängel (= Zigarette); er kann von den Glimmstängeln nicht lassen 
glühendheiß	glühend heiß	glühend heiß; auf der glühend heißen Herdplatte kochte das Wasser im Nu. 
Graphik / Grafik	Graphik / Grafik	Graphik / Grafik; die Graphiker / Grafiker aus der Graphikabteilung / Grafikabteilung; eine teure Graphikkarte / Grafikkarte 
gräulich; graulich (graufarben)  greulich (grauenerregend)	gräulich; graulich (graufarben)  gräulich (grauenerregend)	gräulich; graulich (graufarben)  gräulich (grauenerregend) 
Greuel	Gräuel	Gräuel; Knäuel in der Leitung sind Technikern ein Gräuel; sie las gerne Gräuelmärchen 
großschreiben (hochhalten, besonders schätzen)      groß schreiben (mit großem Anfangsbuchstaben schreiben; in großer Schrift schreiben)	großschreiben (mit großem Anfangsbuchstaben schreiben)      groß schreiben (hochhalten, besonders schätzen; in großer Schrift schreiben)	großschreiben (mit großem Anfangsbuchstaben schreiben; hochhalten, besonders schätzen); Mitverantwortung wird hier großgeschrieben; aber:  Mitverantwortung wird hier ganz groß geschrieben  groß schreiben (in großer Schrift schreiben) 
guttun	gut tun	guttun; der Urlaub hatte ihr gutgetan; die Massage wird dir guttun! 
händchenhaltend	Händchen haltend	Händchen haltend / händchenhaltend; frisch verliebt und Händchen haltend / händchenhaltend liefen sie durch den Park 
hängenbleiben (in der Schule; im Gedächtnis)        hängen bleiben (Gemälde an der Wand)	hängen bleiben	hängen bleiben / hängenbleiben (in der Schule; im Gedächtnis); er drohte zum zweiten Mal hängen zu bleiben / hängenzubleiben; sie ist mit ihrem Mantel an einem hervorstehenden Haken hängen geblieben / hängengeblieben; der Vortrag war so langweilig, dass nichts hängen blieb / hängenblieb  hängen bleiben (Gemälde an der Wand); die Bilder der Ausstellung sollen noch bis zum Winter hängen bleiben 
Happy-End; österr. auch: Happyend	Happyend / Happy End	Happyend / Happy End; im Leben gibt es leider nicht immer ein Happyend / Happy End 
Hard cover  Hard-cover-Einband	Hardcover / Hard Cover  Hardcovereinband / Hard-Cover-Einband	Hardcover  Hardcovereinband / Hardcover-Einband  
heißgeliebt	heiß geliebt	heiß geliebt / heißgeliebt; er musste sein heiß geliebtes / heißgeliebtes Motorrad verkaufen; entsprechend:  heiß begehrt / heißbegehrt;  heiß ersehnt / heißersehnt;  heiß umkämpft / heißumkämpft;  heiß umstritten / heißumstritten 
heißlaufen	heißlaufen	heiß laufen; der Motor hatte sich heiß gelaufen; aber: der heiß gelaufene / heißgelaufene Motor 
heiß machen	heiß machen	in wörtlicher Bedeutung heiß machen / heißmachen; sie beschloss, sich auf die Schnelle Ravioli heiß zu machen / heißzumachen  in übertragener Bedeutung heißmachen; die Hölle heißmachen; das kann mich nicht heißmachen (beunruhigen); sie hatte ihn ganz heißgemacht (sexuell angeregt) 
heute nachmittag	heute Nachmittag	heute Nachmittag; für heute Nachmittag wurden Gewitter angekündigt; entsprechend: gestern Nachmittag; morgen Nachmittag; aber: heute früh / heute Früh 
hierzulande	hierzulande / hier zu Lande	hierzulande / hier zu Lande; das ist nicht nur hierzulande / hier zu Lande so üblich; entsprechend: dort zu Lande / dortzulande 
hochgesteckt	hoch gesteckt	hochgesteckt; die hochgesteckten Haare standen ihr gut; sie hatte hochgesteckte Ziele 
hochkomplex	hoch komplex	hochkomplex; das sind hochkomplexe Zusammenhänge; aber: hoch kompliziert / hochkompliziert 
hochkonzentriert	hochkonzentriert; die hochkonzentrierten Schüler; aber: eine hoch konzentrierte / hochkonzentrierte Säure	hoch konzentriert / hochkonzentriert; die hoch konzentrierten / hochkonzentrierten Schüler; aber nur: eine hochkonzentrierte Säure 
hochqualifiziert	hoch qualifiziert	hoch qualifiziert / hochqualifiziert; in dieser Branche sind hoch qualifizierte / hochqualifizierte Fachkräfte schwer zu finden; entspr.: hoch begabt / hochbegabt; hoch bezahlt / hochbezahlt; hoch dotiert / hochdotiert; hoch spezialisiert / hochspezialisiert 
hohnlachen	hohnlachen / Hohn lachen	hohnlachen / Hohn lachen; sie hohnlachte ihm / lachte ihm Hohn; sie hatte ihm hohngelacht / Hohn gelacht; aber nur: sie neigte dazu, ihm Hohn zu lachen 
hohnsprechen	hohnsprechen / Hohn sprechen	hohnsprechen / Hohn sprechen; ein den gültigen Gesetzen hohnsprechendes / Hohn sprechendes Urteil; das Urteil, das den gültigen Gesetzen hohnsprach / Hohn sprach; aber: das Urteil hohnsprach den gültigen Gesetzen / sprach den gültigen Gesetzen Hohn; aber nur: das Urteil schien den gültigen Gesetzen Hohn zu sprechen 
holzverarbeitend	Holz verarbeitend	Holz verarbeitend / holzverarbeitend; die Holz verarbeitende / holzverarbeitende Industrie 
Homedreß	Homedress / Home-Dress	Homedress / Home-Dress; sie empfing die Gäste im Homedress / Home-Dress 
Hungers sterben	hungers sterben	hungers sterben; aber: vor Hunger sterben 
im allgemeinen	im Allgemeinen	im Allgemeinen; der Sommer bringt im Allgemeinen warme Temperaturen 
im besonderen	im Besonderen	im Besonderen; er war an bildender Kunst, im Besonderen an Malerei, interessiert 
